Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,16,3,Some Random Commen with Id 0
1,0,0,23,1,Some Random Commen with Id 1
2,0,0,50,6,Some Random Commen with Id 2
3,0,0,142,8,Some Random Commen with Id 3
4,0,0,157,7,Some Random Commen with Id 4
5,0,0,51,1,Some Random Commen with Id 5
6,0,0,137,6,Some Random Commen with Id 6
7,1,4,153,4,Some Random Commen with Id 7
8,1,4,50,6,Some Random Commen with Id 8
9,1,4,79,0,Some Random Commen with Id 9
10,1,4,132,0,Some Random Commen with Id 10
11,1,4,60,6,Some Random Commen with Id 11
12,2,3,100,0,Some Random Commen with Id 12
13,2,3,26,0,Some Random Commen with Id 13
14,2,3,108,3,Some Random Commen with Id 14
15,2,3,57,3,Some Random Commen with Id 15
16,2,3,122,2,Some Random Commen with Id 16
17,2,3,131,5,Some Random Commen with Id 17
18,2,3,56,1,Some Random Commen with Id 18
19,2,3,141,7,Some Random Commen with Id 19
20,2,3,171,2,Some Random Commen with Id 20
21,3,0,22,0,Some Random Commen with Id 21
22,3,0,66,4,Some Random Commen with Id 22
23,3,0,30,6,Some Random Commen with Id 23
24,3,0,193,1,Some Random Commen with Id 24
25,3,0,122,0,Some Random Commen with Id 25
26,3,0,115,3,Some Random Commen with Id 26
27,4,4,196,1,Some Random Commen with Id 27
28,4,4,64,7,Some Random Commen with Id 28
29,4,4,148,7,Some Random Commen with Id 29
30,4,4,31,1,Some Random Commen with Id 30
31,4,4,173,2,Some Random Commen with Id 31
32,4,4,199,5,Some Random Commen with Id 32
33,5,5,121,9,Some Random Commen with Id 33
34,5,5,176,8,Some Random Commen with Id 34
35,5,5,13,9,Some Random Commen with Id 35
36,5,5,14,2,Some Random Commen with Id 36
37,5,5,46,1,Some Random Commen with Id 37
38,5,5,68,2,Some Random Commen with Id 38
39,5,5,103,6,Some Random Commen with Id 39
40,5,5,34,4,Some Random Commen with Id 40
41,6,1,72,6,Some Random Commen with Id 41
42,6,1,88,2,Some Random Commen with Id 42
43,7,8,30,3,Some Random Commen with Id 43
44,7,8,102,5,Some Random Commen with Id 44
45,7,8,150,4,Some Random Commen with Id 45
46,7,8,80,9,Some Random Commen with Id 46
47,7,8,6,4,Some Random Commen with Id 47
48,7,8,74,3,Some Random Commen with Id 48
49,8,2,66,9,Some Random Commen with Id 49
50,8,2,90,7,Some Random Commen with Id 50
51,8,2,170,3,Some Random Commen with Id 51
52,8,2,118,2,Some Random Commen with Id 52
53,8,2,134,1,Some Random Commen with Id 53
54,8,2,136,3,Some Random Commen with Id 54
55,8,2,180,3,Some Random Commen with Id 55
56,9,0,121,0,Some Random Commen with Id 56
57,9,0,107,0,Some Random Commen with Id 57
58,9,0,132,5,Some Random Commen with Id 58
59,9,0,193,4,Some Random Commen with Id 59
60,9,0,66,2,Some Random Commen with Id 60
61,9,0,134,6,Some Random Commen with Id 61
62,9,0,141,4,Some Random Commen with Id 62
63,9,0,112,5,Some Random Commen with Id 63
64,9,0,49,3,Some Random Commen with Id 64
65,10,3,133,3,Some Random Commen with Id 65
66,10,3,67,0,Some Random Commen with Id 66
67,10,3,146,8,Some Random Commen with Id 67
68,11,5,139,6,Some Random Commen with Id 68
69,11,5,136,4,Some Random Commen with Id 69
70,11,5,25,4,Some Random Commen with Id 70
71,11,5,162,6,Some Random Commen with Id 71
72,11,5,178,6,Some Random Commen with Id 72
73,12,7,142,6,Some Random Commen with Id 73
74,12,7,108,3,Some Random Commen with Id 74
75,12,7,125,6,Some Random Commen with Id 75
76,12,7,99,2,Some Random Commen with Id 76
77,12,7,160,5,Some Random Commen with Id 77
78,12,7,116,1,Some Random Commen with Id 78
79,12,7,131,2,Some Random Commen with Id 79
80,12,7,163,9,Some Random Commen with Id 80
81,13,9,26,2,Some Random Commen with Id 81
82,13,9,194,0,Some Random Commen with Id 82
83,13,9,194,3,Some Random Commen with Id 83
84,13,9,92,9,Some Random Commen with Id 84
85,13,9,127,3,Some Random Commen with Id 85
86,13,9,84,4,Some Random Commen with Id 86
87,14,6,41,3,Some Random Commen with Id 87
88,15,5,159,1,Some Random Commen with Id 88
89,15,5,176,4,Some Random Commen with Id 89
90,15,5,35,5,Some Random Commen with Id 90
91,15,5,100,4,Some Random Commen with Id 91
92,15,5,126,2,Some Random Commen with Id 92
93,16,1,93,0,Some Random Commen with Id 93
94,16,1,97,2,Some Random Commen with Id 94
95,16,1,171,9,Some Random Commen with Id 95
96,16,1,79,6,Some Random Commen with Id 96
97,16,1,124,0,Some Random Commen with Id 97
98,16,1,93,6,Some Random Commen with Id 98
99,17,1,183,5,Some Random Commen with Id 99
100,17,1,54,2,Some Random Commen with Id 100
101,17,1,118,9,Some Random Commen with Id 101
102,17,1,165,6,Some Random Commen with Id 102
103,18,4,125,6,Some Random Commen with Id 103
104,18,4,167,8,Some Random Commen with Id 104
105,18,4,36,0,Some Random Commen with Id 105
106,18,4,50,9,Some Random Commen with Id 106
107,18,4,99,7,Some Random Commen with Id 107
